X,Y,Society Name,Machines,Site Name,Full Addre,Site Addre,Town,Country,Territoria,addrtype,addrlocat
168.409397,-46.4475241,Lion Foundation,5,White House Hotel,"PO Box 4, RD Invercargill","PO Box 4, RD",Invercargill,NZ,Invercargill City,route,GEOMETRIC_CENTER
173.8756994,-35.9373617,Lion Foundation,3,Central Hotel,18-22 Victoria Street Dargaville,18-22 Victoria Street,Dargaville,NZ,Kaipara District,route,GEOMETRIC_CENTER
175.0089686,-40.9135441,Lion Foundation,18,Debo's Tavern,Amohia Street Paraparaumu,Amohia Street,Paraparaumu,NZ,Kapiti Coast District,route,GEOMETRIC_CENTER
174.9520171,-40.9881445,Lion Foundation,5,Paekakariki Hotel,2 Beach Road Paekakariki,2 Beach Road,Paekakariki,NZ,Kapiti Coast District,street_address,ROOFTOP
176.7003101,-38.0870456,Lion Foundation,12,Kawerau Hotel,Plunket Street Kawerau,Plunket Street,Kawerau,NZ,Kawerau District,route,GEOMETRIC_CENTER
174.9014526,-37.0256729,Lion Foundation,18,Bellbird Arms,246 Great South Road Manurewa,246 Great South Road,Manurewa,NZ,Manukau City,street_address,ROOFTOP
174.79975,-36.968991,Lion Foundation,10,Pacific Tavern,"Mangere Town Centre, Bader Drive Mangere","Mangere Town Centre, Bader Drive",Mangere,NZ,Manukau City,bus_station,APPROXIMATE
174.8965763,-37.0224442,Lion Foundation,18,Playaz Casino & Bar,Unit Z - 185 Great South Road Manurewa,Unit Z - 185 Great South Road,Manurewa,NZ,Manukau City,street_address,ROOFTOP
174.8448742,-36.9425708,Lion Foundation,12,Romeros Tavern,26 Avenue Road Otahuhu,26 Avenue Road,Otahuhu,NZ,Manukau City,street_address,ROOFTOP
173.941053,-41.5103206,Lion Foundation,18,Springlands Tavern,Boyce Street Blenheim,Boyce Street,Blenheim,NZ,Marlborough District,route,GEOMETRIC_CENTER
173.827888,-41.5078192,Lion Foundation,12,Woodbourne Tavern,High Street Renwick,High Street,Renwick,NZ,Marlborough District,route,GEOMETRIC_CENTER
175.7133307,-37.5441971,Lion Foundation,6,Palace Hotel,Whittaker Street Te Aroha,Whittaker Street,Te Aroha,NZ,Matamata-Piako District,route,GEOMETRIC_CENTER
176.9138851,-39.4935492,Lion Foundation,16,Cobb & Co Restaurant and Bar,154 Station Street Napier,154 Station Street,Napier,NZ,Napier City,street_address,ROOFTOP
176.8985594,-39.4803563,Lion Foundation,12,Crown Hotel Ahuriri,22 Waghorne Street Napier,22 Waghorne Street,Napier,NZ,Napier City,street_address,ROOFTOP
176.918993,-39.4900407,Lion Foundation,3,Landmark Hotel,1 Emerson Street Napier,1 Emerson Street,Napier,NZ,Napier City,street_address,ROOFTOP
176.9188933,-39.4960473,Lion Foundation,18,Masonic Tavern,Cnr Tennyson Street and Marine Parade Napier,Cnr Tennyson Street and Marine Parade,Napier,NZ,Napier City,route,GEOMETRIC_CENTER
176.8682077,-39.5091273,Lion Foundation,16,Tamatea Tavern,Durham Avenue Napier,Durham Avenue,Napier,NZ,Napier City,route,GEOMETRIC_CENTER
176.8973305,-39.4806302,Lion Foundation,0,Union Hotel,3 Waghorne Street Napier,3 Waghorne Street,Napier,NZ,Napier City,street_address,ROOFTOP
176.8748976,-39.4663527,Lion Foundation,9,Westshore Hotel,Main Road Westshore,Main Road,Westshore,NZ,Napier City,route,GEOMETRIC_CENTER
173.2869386,-41.2726456,Lion Foundation,18,Wakatu Hotel,Cnr Bridge and Collingwood Streets Nelson,Cnr Bridge and Collingwood Streets,Nelson,NZ,Nelson City,intersection,APPROXIMATE
174.0796826,-39.0562843,Lion Foundation,12,High Rollers Casino Lounge,176 Devon Street East New Plymouth,176 Devon Street East,New Plymouth,NZ,New Plymouth District,street_address,ROOFTOP
174.1987625,-39.1578888,Lion Foundation,3,Inglewood Hotel,Cnr Maitai and Kelly Streets Inglewood,Cnr Maitai and Kelly Streets,Inglewood,NZ,New Plymouth District,route,GEOMETRIC_CENTER
174.0752278,-39.0556253,Lion Foundation,15,State Establishment,Cnr Devon and Grover Streets New Plymouth,Cnr Devon and Grover Streets,New Plymouth,NZ,New Plymouth District,locality,APPROXIMATE
174.7070994,-36.753601,Lion Foundation,9,Brick House Bar and Restaurant,1B William Pickering Drive Albany,1B William Pickering Drive,Albany,NZ,North Shore City,street_address,ROOFTOP
174.7455329,-36.7143437,Lion Foundation,18,Browns Bay Motor Inn,Cnr Beach and Bute Road Albany,Cnr Beach and Bute Road,Albany,NZ,North Shore City,route,GEOMETRIC_CENTER
174.7214281,-36.7835036,Lion Foundation,18,Glenfield Tavern,Cnr Glenfield and Downing Streets Glenfield,Cnr Glenfield and Downing Streets,Glenfield,NZ,North Shore City,intersection,APPROXIMATE
174.7482673,-36.8226579,Lion Foundation,18,Northcote Tavern,37 Queen Street Northcote,37 Queen Street,Northcote,NZ,North Shore City,street_address,ROOFTOP
174.7365524,-36.7704404,Lion Foundation,18,Valentines Restaurant,180 Wairau Road Glenfield,180 Wairau Road,Glenfield,NZ,North Shore City,street_address,ROOFTOP
174.7309341,-37.2379268,Lion Foundation,18,Wairau Park Tenpin,19 Link Drive North Harbour,19 Link Drive,North Harbour,NZ,North Shore City,street_address,ROOFTOP
175.606268,-40.3559064,Lion Foundation,18,Carlton Hotel,175 Cuba Street Palmerston North,175 Cuba Street,Palmerston North,NZ,Palmerston North City,street_address,ROOFTOP
175.613357,-40.359826,Lion Foundation,0,Diablo's,96-100 Fitzherbert Avenue Palmerston North,96-100 Fitzherbert Avenue,Palmerston North,NZ,Palmerston North City,subpremise,ROOFTOP
175.6045037,-40.3496909,Lion Foundation,11,Sportsman Inn,217-223 Featherston Street Palmerston North,217-223 Featherston Street,Palmerston North,NZ,Palmerston North City,subpremise,ROOFTOP
175.609864,-40.35409,Lion Foundation,0,The Royal Tavern,44 Rangitikei Street Palmerston North,44 Rangitikei Street,Palmerston North,NZ,Palmerston North City,street_address,ROOFTOP
174.9419934,-37.0625921,Lion Foundation,18,Papakura Tavern,159 Great South Road Papakura,159 Great South Road,Papakura,NZ,Papakura District,street_address,ROOFTOP
168.7556136,-44.950971,Lion Foundation,2,Arthurs Point Tavern,Malaghans Road Arthurs Point,Malaghans Road,Arthurs Point,NZ,Queenstown-Lakes District,route,GEOMETRIC_CENTER
168.6595922,-45.032142,Lion Foundation,0,Eichardts's Tavern,Rees Street Queenstown,Rees Street,Queenstown,NZ,Queenstown-Lakes District,route,GEOMETRIC_CENTER
168.6576905,-45.0330716,Lion Foundation,0,Loaded Hog Queenstown,"Block A, Steamerwharf Village, Beach Street Queenstown","Block A, Steamerwharf Village, Beach Street",Queenstown,NZ,Queenstown-Lakes District,route,GEOMETRIC_CENTER
168.8317028,-44.938364,Lion Foundation,18,New Orleans Hotel,27 Buckingham Street Arrowtown,27 Buckingham Street,Arrowtown,NZ,Queenstown-Lakes District,street_address,ROOFTOP
168.6623132,-45.0319211,Lion Foundation,10,Pig and Whistle,15 Camp Street Queenstown,15 Camp Street,Queenstown,NZ,Queenstown-Lakes District,street_address,ROOFTOP
168.8324337,-44.9386451,Lion Foundation,5,Royal Oak Hotel,46 Buckingham Street Arrowtown,46 Buckingham Street,Arrowtown,NZ,Queenstown-Lakes District,street_address,ROOFTOP
175.7981086,-39.6770977,Lion Foundation,8,Al Centro Restaurant & Bar,97 Hautapu Street Taihape,97 Hautapu Street,Taihape,NZ,Rangitikei District,street_address,ROOFTOP
175.3773621,-40.0689853,Lion Foundation,10,Club Hotel,17 High Street Marton,17 High Street,Marton,NZ,Rangitikei District,street_address,ROOFTOP
174.7175757,-36.3522309,Lion Foundation,3,Leigh Hotel,22-28 Cumberland Street Matakana,22-28 Cumberland Street,Matakana,NZ,Rodney District,locality,APPROXIMATE
174.7450551,-36.6366415,Lion Foundation,18,Pacific Plaza Ten Pin,"Pacific Plaza Complex, 14 Link Crescent Whangaparaoa","Pacific Plaza Complex, 14 Link Crescent",Whangaparaoa,NZ,Rodney District,street_address,RANGE_INTERPOLATED
174.6644246,-36.3974314,Lion Foundation,8,Warkworth Hotel,Queen Street Warkworth,Queen Street,Warkworth,NZ,Rodney District,route,GEOMETRIC_CENTER
176.2537358,-38.1379101,Lion Foundation,18,Grand Establishment,Cnr Hinemoa and Fenton Streets Rotorua,Cnr Hinemoa and Fenton Streets,Rotorua,NZ,Rotorua District,intersection,APPROXIMATE
